mode,global_family,global_bb,global_m,global_map,local_family,local_bb,local_m,local_map,sem_family,sem_bb,sem_map,top_k,precision,recall,f3,total_time
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-base-patch16-384,0.4186538782313581,100,0.06300649485011811,0.49691972684655544,0.25886936163763147,935.9621968269348
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,10,0.11003757763347533,0.5606155609891763,0.3639111974784123,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,10,0.30936147186147184,0.10815734470838557,0.11324637654844515,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,10,0.3223144302486835,0.24909104230270196,0.24233808431856377,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,20,0.061613233954155674,0.6261904022575336,0.29824247687828576,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,20,0.3394161641929499,0.15152158381364836,0.15519212476229022,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,20,0.2234545156053577,0.3201636612607535,0.28334931042525763,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,30,0.04373415100923698,0.6681125925020358,0.2525736804715669,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,30,0.32966788127096563,0.18245432271764397,0.18266536554635787,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,30,0.1695043838062876,0.3576164027409014,0.2918866548948217,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,40,0.034180598060191573,0.6923537666417489,0.21882449668815443,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,40,0.30329990917748745,0.2039292784553957,0.19875883346665993,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,40,0.13520888017255905,0.3910068266817216,0.2938543521180993,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,50,0.028186276325654572,0.7115405012529487,0.19347444797513363,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,50,0.2821139247493925,0.2196882683991164,0.20957202533278946,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,50,0.11167789239244807,0.41296453538503763,0.28845713637721004,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,60,0.024109412273553326,0.7275416882291166,0.17395586025034598,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,60,0.2601353642097877,0.23659036498155098,0.22045746239928934,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,60,0.09622472923674588,0.43141783307940684,0.28240518466803305,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,70,0.021145375130459148,0.7415759843352471,0.15843858323413487,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,70,0.2420985503284719,0.2542403106347434,0.2308017388337513,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,70,0.08442449849980471,0.4506879860441739,0.27693833219164393,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,80,0.01884344545088762,0.7526533043817231,0.14543097649178963,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,80,0.22315285114870345,0.26892103485280533,0.23836506585200767,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,80,0.07540099718803982,0.4683159049803434,0.27145525482896904,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,90,0.01701683587209614,0.7614463506980456,0.1344419560308446,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,90,0.20816242151531045,0.27737319326437926,0.241090656654395,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,90,0.06810111686763282,0.48333041629451096,0.2650102199838236,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,100,0.015530834215344114,0.7697694789003755,0.12509569831549022,1099.5770308971405
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,100,0.19505053059220387,0.28688502916265046,0.24481530375320326,1099.5770308971405
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-256,0.42965429911817243,100,0.06210721859927147,0.4936174701656462,0.2575476278824535,1099.5770308971405
union,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,10,0.12331971979384972,0.6331185902656252,0.41013349158503165,1737.3854269981384
intersection,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,10,0.3169372294372294,0.11131464240707936,0.11666979217153899,1737.3854269981384
majority,ConvNeXtV2,convnextv2_tiny,0,0.1608115887870772,DINOv2,vit_base_patch14_reg4_dinov2.lvd142m_224,0,0.12122812430929275,SigLIP,google/siglip-large-patch16-384,0.5178618221401614,10,0.3309765383426098,0.25627824655768217,0.24917041558917516,1737.3854269981384
