mode,sg_bb,depth,sg_m,dino_bb,dino_m,clip_bb,precision,recall,f3,top_k,sg_map
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.01861608960541655,0.6711548481572116,0.14037550166497373,70,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.035849567099567096,0.008914164839489515,0.009459118038181885,70,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.1521940053147753,0.34765080804519305,0.27858394310567697,70,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.017182484119645534,0.6805949796346807,0.13234269004359445,80,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.035849567099567096,0.009076502501827177,0.009627847813068696,80,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.1370025108093483,0.36125445714946286,0.2788181168988807,80,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.015951587294864327,0.6901079428778292,0.12522504420129713,90,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.035849567099567096,0.009076502501827177,0.009627847813068696,90,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.12502694827328176,0.3726285116981737,0.27811154850282926,90,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.014941037006165829,0.7005784292817572,0.11917980496101849,100,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.035849567099567096,0.009076502501827177,0.009627847813068696,100,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.11463883820988241,0.3818901058516223,0.27563060270895273,100,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.013986636506590674,0.7058298088121665,0.1131139341554175,110,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.035037878787878785,0.009076502501827177,0.009624394069246802,110,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.10446615716105755,0.39132689921698705,0.2727450498963394,110,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.013152820743157755,0.7115703074909769,0.107696134669452,120,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.03598484848484848,0.009536810592005398,0.01011337527980332,120,0.002823332290733735
majority,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.0969616026268311,0.4005989155303995,0.2703086383568019,120,0.002823332290733735
union,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.012453208694863327,0.7175698026747254,0.10305437154275542,130,0.002823332290733735
intersection,.\weights\CVPR2022_CVNet_R50.pyth,50,50,vit_base_patch14_dinov2.lvd142m,1000,openai/clip-vit-base-patch32,0.035037878787878785,0.009536810592005398,0.010103644644488452,130,0.002823332290733735
