mode,global_family,global_bb,global_m,global_map,global_time,local_family,local_bb,local_m,local_map,local_time,sem_family,sem_bb,sem_map,sem_time,top_k,precision,recall,f3,total_time
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,0.39306496720004647,1049.2992823123932,10,0.21371753246753247,0.06325935796547905,0.06701200597113434,2244.082302093506
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,0.39306496720004647,1049.2992823123932,10,0.37355732065553493,0.2041499120441777,0.20698832850631563,2244.082302093506
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,0.39306496720004647,1049.2992823123932,50,0.025917967335702747,0.7006937986574159,0.18119469082920756,2244.082302093506
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,0.39306496720004647,1049.2992823123932,50,0.2768929730983303,0.1333318801137747,0.13565086251680308,2244.082302093506
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,0.39306496720004647,1049.2992823123932,50,0.15320073511987464,0.3385974288661216,0.2775442895862663,2244.082302093506
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,0.39306496720004647,1049.2992823123932,100,0.014163547526281774,0.7591012581129083,0.1158160869510294,2244.082302093506
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,0.39306496720004647,1049.2992823123932,100,0.2515492600217563,0.17955642484266432,0.1746016141982255,2244.082302093506
majority,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,0.39306496720004647,1049.2992823123932,100,0.08470309704536322,0.416216466322702,0.26803538232239227,2244.082302093506
union,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,0.4204741289738018,2926.0242462158203,10,0.1032909151782696,0.5659743690599783,0.3580703809552733,4120.807265996933
intersection,SuperGlobal,weights/CVPR2022_CVNet_R50.pyth,0,0.15967082424363915,924.7469425201416,DINOv2,vit_small_patch14_dinov2.lvd142m_224,0,0.07751166146343304,270.03607726097107,CLIP,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,0.4204741289738018,2926.0242462158203,10,0.21462391774891773,0.06369763496625606,0.06735337012718133,4120.807265996933
